Tweet,Subjectivity,Label,Sentiment Polarity
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- John Stones playing like Franz Beckenba…",0.5,Positive,0.5
[image] Lesson Learned from Germany's Performance on World Cup 2018 - More quotes at: https://t.co/X5NwqTZrg6 https://t.co/n1BBtMn3Dj,0.5,Positive,0.5
RT @SoccerAM: 🎾 Gazza tells us about the time he had a quick game of tennis the night before England's semi final with Germany at World Cup…,0.6333333333333333,Negative,-0.022222222222222237
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @sid_lambert: This is wonderful. #OnThisDay in 1990 England faced West Germany in the World Cup semi-Final.

This is the BBC intro to th…",1.0,Positive,1.0
"RT @FutbolBible: Since there is no World Cup on today, watch this video of Xavi vs Germany in World Cup 2010. Masterclass, pure genius. #Wo…",0.5,Positive,0.21428571428571427
RT @SoccerAM: 🎾 Gazza tells us about the time he had a quick game of tennis the night before England's semi final with Germany at World Cup…,0.6333333333333333,Negative,-0.022222222222222237
RT @SoccerAM: 🎾 Gazza tells us about the time he had a quick game of tennis the night before England's semi final with Germany at World Cup…,0.6333333333333333,Negative,-0.022222222222222237
"RT @IsimaOdeh: Oliver Kahn said Nigerian football fans are too emotional and they overrate the Super Eagles, and they don't belong at the W…",0.6583333333333333,Positive,0.16666666666666666
RT @guardian_sport: Possession lost on the World Cup stage as defences learn to adapt | By @jonawils https://t.co/NAf3C6DEEq,0.0,Negative,0.0
"RT @FutbolBible: Since there is no World Cup on today, watch this video of Xavi vs Germany in World Cup 2010. Masterclass, pure genius. #Wo…",0.5,Positive,0.21428571428571427
Mexico fans have been treating South Korean supporters like royalty after their team helped knock out Germany from… https://t.co/LySwSd8ohs,0.0,Negative,0.0
"RT @sid_lambert: This is wonderful. #OnThisDay in 1990 England faced West Germany in the World Cup semi-Final.

This is the BBC intro to th…",1.0,Positive,1.0
Watch 90 minutes of South Korea vs. Germany in 90 seconds.SUBSCRIBE to get the latest FOX Soccer content:… https://t.co/SygnuodR4u,0.9,Positive,0.5
"RT @FutbolBible: Since there is no World Cup on today, watch this video of Xavi vs Germany in World Cup 2010. Masterclass, pure genius. #Wo…",0.5,Positive,0.21428571428571427
There was huge drama in Kazan as reigning World Champions Germany were eliminated form the 2018 FIFA World Cup at t… https://t.co/8FMbVc2YCw,0.9,Positive,0.4000000000000001
"RT @FutbolBible: Since there is no World Cup on today, watch this video of Xavi vs Germany in World Cup 2010. Masterclass, pure genius. #Wo…",0.5,Positive,0.21428571428571427
"RT @sid_lambert: This is wonderful. #OnThisDay in 1990 England faced West Germany in the World Cup semi-Final.

This is the BBC intro to th…",1.0,Positive,1.0
"RT @FutbolBible: Since there is no World Cup on today, watch this video of Xavi vs Germany in World Cup 2010. Masterclass, pure genius. #Wo…",0.5,Positive,0.21428571428571427
"RT @sid_lambert: This is wonderful. #OnThisDay in 1990 England faced West Germany in the World Cup semi-Final.

This is the BBC intro to th…",1.0,Positive,1.0
"RT @sid_lambert: This is wonderful. #OnThisDay in 1990 England faced West Germany in the World Cup semi-Final.

This is the BBC intro to th…",1.0,Positive,1.0
"RT @FootyyWorld: 🇫🇷 1998: France WIN World Cup
🇫🇷 2002: France OUT in Group Stage

🇮🇹 2006: Italy WIN World Cup
🇮🇹 2010: Italy OUT in Group…",0.4,Positive,0.8
"RT @UEFAEURO: ⚽️ 119' Fabio Grosso 
⚽️ 120+1' Alessandro Del Piero 

🇮🇹 #OnThisDay at the 2006 World Cup, Italy beat hosts Germany in extra…",0.0,Negative,0.0
"RT @ItalianoCalcio: 🗓 On this day in 2006, Italy defeated Germany 2-0 in their semifinal matchup, en route to winning the World Cup. 🏆 

Go…",0.75,Positive,0.5
"RT @FutbolBible: Since there is no World Cup on today, watch this video of Xavi vs Germany in World Cup 2010. Masterclass, pure genius. #Wo…",0.5,Positive,0.21428571428571427
RT @SoccerAM: 🎾 Gazza tells us about the time he had a quick game of tennis the night before England's semi final with Germany at World Cup…,0.6333333333333333,Negative,-0.022222222222222237
"RT @FutbolBible: Since there is no World Cup on today, watch this video of Xavi vs Germany in World Cup 2010. Masterclass, pure genius. #Wo…",0.5,Positive,0.21428571428571427
"RT @FutbolBible: Since there is no World Cup on today, watch this video of Xavi vs Germany in World Cup 2010. Masterclass, pure genius. #Wo…",0.5,Positive,0.21428571428571427
"RT @sid_lambert: This is wonderful. #OnThisDay in 1990 England faced West Germany in the World Cup semi-Final.

This is the BBC intro to th…",1.0,Positive,1.0
